homograph,homograph_type,n_eval,mle_acc,pos_baseline_acc,probe_acc,probe_minus_baseline
separate,Morphosyntactic,10,0.9,0.9,1.0,0.1
sow,Lexical,10,0.8,0.9,0.9,0.0
subject,Lexical/Morphosyntactic,10,1.0,1.0,1.0,0.0
subordinate,Morphosyntactic,10,1.0,1.0,1.0,0.0
supplement,Lexical/Morphosyntactic,10,0.6,1.0,1.0,0.0
suspect,Morphosyntactic,10,0.9,1.0,1.0,0.0
syndicate,Morphosyntactic,10,1.0,1.0,1.0,0.0
tear,Lexical,10,0.9,0.8,0.9,0.1
transform,Morphosyntactic,10,0.8,0.9,1.0,0.1
transplant,Morphosyntactic,10,0.9,1.0,1.0,0.0
transport,Morphosyntactic,10,0.9,1.0,1.0,0.0
upset,Morphosyntactic,10,0.7,0.9,0.9,0.0
use,Lexical/Morphosyntactic,10,0.4,1.0,1.0,0.0
uses,Morphosyntactic,10,0.9,1.0,1.0,0.0
wind,Lexical,10,1.0,1.0,1.0,0.0
winds,Lexical,10,1.0,1.0,1.0,0.0
wound,Lexical,10,0.5,0.8,1.0,0.2
